Date,Close/Last,Volume,Open,High,Low
5/4/2023,233.52,"17,889,390.00",236.06,238.20,232.93
5/3/2023,237.03,"34,463,860.00",239.47,241.75,232.75
5/2/2023,239.24,"24,350,150.00",243.18,244.92,238.99
5/1/2023,243.18,"29,143,910.00",238.62,244.00,236.46
4/28/2023,240.32,"39,554,040.00",239.01,240.43,235.75
4/27/2023,238.56,"71,196,530.00",239.89,241.69,236.77
4/26/2023,209.40,"41,992,730.00",212.50,214.11,208.88
4/25/2023,207.55,"19,198,180.00",210.82,211.26,207.13
4/24/2023,212.79,"15,750,920.00",213.68,213.92,210.71
4/21/2023,212.89,"17,717,170.00",210.21,213.41,209.58
4/20/2023,213.07,"16,475,440.00",213.48,216.75,212.77
4/19/2023,215.70,"15,898,080.00",213.47,217.33,212.93
4/18/2023,217.89,"12,280,980.00",219.91,220.44,216.21
4/17/2023,218.86,"15,481,870.00",219.79,220.98,217.13
4/14/2023,221.49,"21,591,210.00",217.88,222.11,217.55
4/13/2023,220.35,"23,310,360.00",215.73,221.15,215.69
4/12/2023,214.00,"18,972,170.00",214.84,216.84,212.58
4/11/2023,213.85,"16,710,100.00",215.48,216.02,213.41
4/10/2023,214.75,"16,106,070.00",214.71,215.66,210.66
4/6/2023,216.10,"26,104,410.00",209.25,216.94,208.65
4/5/2023,211.48,"19,396,630.00",214.15,215.19,209.94
4/4/2023,214.72,"21,026,370.00",213.39,216.24,212.54
4/3/2023,213.07,"17,924,610.00",208.84,213.49,208.20
3/31/2023,211.94,"25,440,270.00",207.24,212.17,206.77
3/30/2023,207.84,"22,608,300.00",203.38,208.09,202.82
3/29/2023,205.35,"18,851,140.00",203.56,205.72,202.54
3/28/2023,200.68,"19,127,300.00",200.15,201.03,197.90
3/27/2023,202.84,"18,527,180.00",204.81,205.86,201.36
3/24/2023,206.01,"27,733,040.00",205.18,207.58,203.55
3/23/2023,204.28,"27,389,670.00",202.84,207.88,202.15
3/22/2023,199.81,"28,477,760.00",202.50,207.37,199.67
3/21/2023,202.16,"31,826,950.00",203.20,203.55,197.95
3/20/2023,197.81,"25,186,320.00",198.48,199.36,193.64
3/17/2023,195.61,"50,141,100.00",200.56,201.90,195.43
3/16/2023,204.93,"50,819,660.00",198.26,205.76,196.09
3/15/2023,197.75,"42,123,550.00",192.95,197.78,190.84
3/14/2023,194.02,"41,642,630.00",187.58,194.32,186.56
3/13/2023,180.90,"24,727,970.00",177.96,183.78,174.82
3/10/2023,179.51,"25,665,030.00",181.01,184.77,178.80
3/9/2023,181.69,"26,582,750.00",186.35,188.93,180.30
3/8/2023,184.97,"19,432,410.00",182.87,185.26,181.34
3/7/2023,184.51,"36,701,500.00",189.00,190.36,184.01
3/6/2023,184.90,"33,209,390.00",188.00,189.66,184.64
3/3/2023,185.25,"45,877,690.00",178.92,186.62,177.05
3/2/2023,174.53,"17,360,710.00",172.38,175.01,171.43
3/1/2023,173.42,"30,998,380.00",174.59,177.85,173.05
2/28/2023,174.94,"46,051,120.00",171.90,177.55,171.87
2/27/2023,169.54,"19,277,000.00",171.88,173.12,169.06
2/24/2023,170.39,"19,791,330.00",168.64,170.72,167.66
2/23/2023,172.04,"20,017,780.00",172.00,173.69,169.38
2/22/2023,171.12,"22,433,160.00",171.07,172.76,169.69
2/21/2023,172.08,"34,592,580.00",174.31,178.17,171.88
2/17/2023,172.88,"24,171,260.00",170.22,173.18,169.70
2/16/2023,172.44,"25,827,470.00",172.75,175.85,171.79
2/15/2023,177.16,"25,337,970.00",176.42,178.19,175.33
2/14/2023,179.48,"24,034,630.00",177.16,181.51,175.88
2/13/2023,179.43,"31,463,220.00",178.22,181.00,175.82
2/10/2023,174.15,"33,433,570.00",176.35,178.89,173.35
2/9/2023,177.92,"37,118,810.00",186.13,186.65,177.27
2/8/2023,183.43,"36,139,070.00",190.00,190.83,182.92
2/7/2023,191.62,"47,080,660.00",185.58,193.78,184.40
2/6/2023,186.06,"42,483,810.00",186.53,190.70,185.52
2/3/2023,186.53,"76,809,700.00",183.47,196.77,182.89
2/2/2023,188.77,"150,475,700.00",183.38,197.16,180.16
2/1/2023,153.12,"55,661,020.00",148.03,153.58,147.06
1/31/2023,148.97,"29,842,110.00",147.95,149.88,147.52
1/30/2023,147.06,"28,040,100.00",149.41,151.12,146.95
1/27/2023,151.74,"35,771,870.00",148.24,153.19,147.39
1/26/2023,147.30,"25,482,080.00",144.40,147.51,143.30
1/25/2023,141.50,"26,622,020.00",141.22,143.17,140.31
1/24/2023,143.14,"21,970,190.00",141.69,145.00,141.36
1/23/2023,143.27,"27,470,090.00",139.29,143.76,138.66
1/20/2023,139.37,"28,688,630.00",135.89,139.94,134.61
1/19/2023,136.15,"28,625,230.00",132.49,137.45,132.14
1/18/2023,133.02,"20,215,490.00",135.81,137.25,132.80
1/17/2023,135.36,"21,147,590.00",136.18,136.75,134.25
1/13/2023,136.98,"22,423,840.00",134.97,137.39,134.84
1/12/2023,136.71,"30,757,730.00",133.44,137.68,131.76
1/11/2023,132.89,"25,423,050.00",130.96,133.85,130.34
1/10/2023,132.99,"28,684,430.00",127.27,133.44,127.15
1/9/2023,129.47,"26,649,150.00",131.16,132.95,129.28
1/6/2023,130.02,"27,584,500.00",128.97,130.33,126.04
1/5/2023,126.94,"25,447,100.00",126.13,128.52,124.54
1/4/2023,127.37,"32,397,090.00",127.38,129.05,125.85
1/3/2023,124.74,"35,528,530.00",122.82,126.37,122.28
12/30/2022,120.34,"19,583,830.00",118.16,120.42,117.74
12/29/2022,120.26,"22,366,190.00",116.40,121.03,115.77
12/28/2022,115.62,"19,612,470.00",116.25,118.15,115.51
12/27/2022,116.88,"21,392,310.00",117.93,118.60,116.05
12/23/2022,118.04,"17,796,630.00",116.03,118.18,115.54
12/22/2022,117.12,"23,618,120.00",117.20,118.62,114.38
12/21/2022,119.76,"20,392,800.00",116.70,120.34,115.62
12/20/2022,117.09,"28,742,500.00",113.26,117.33,112.46
12/19/2022,114.48,"29,769,880.00",116.83,117.80,114.33
12/16/2022,119.43,"67,064,000.00",120.23,123.31,118.82
12/15/2022,116.15,"34,530,970.00",118.33,118.63,114.01
12/14/2022,121.59,"36,922,040.00",119.39,124.14,119.39
12/13/2022,120.15,"44,701,050.00",122.13,123.30,118.64
12/12/2022,114.71,"24,747,060.00",115.18,115.72,113.14
12/9/2022,115.90,"26,033,350.00",115.30,117.54,113.87
12/8/2022,115.33,"30,619,420.00",116.39,117.34,114.59
12/7/2022,113.93,"29,461,140.00",113.76,115.88,112.88
12/6/2022,114.12,"43,689,180.00",119.91,120.55,113.74
12/5/2022,122.43,"35,474,880.00",121.75,124.67,121.35
12/2/2022,123.49,"39,950,460.00",117.83,124.04,117.61
12/1/2022,120.44,"36,551,370.00",119.20,121.20,118.40
11/30/2022,118.10,"43,348,560.00",109.51,118.16,109.38
11/29/2022,109.46,"23,899,240.00",109.54,110.94,108.54
11/28/2022,108.78,"23,332,820.00",110.78,112.04,108.38
11/25/2022,111.41,"12,007,570.00",111.30,112.73,111.02
11/23/2022,112.24,"21,343,080.00",111.72,112.67,110.73
11/22/2022,111.44,"29,028,960.00",109.86,111.62,108.32
11/21/2022,109.86,"24,351,070.00",111.52,112.37,109.19
11/18/2022,112.05,"33,357,710.00",113.80,114.32,110.62
11/17/2022,111.45,"35,093,820.00",110.41,112.33,109.80
11/16/2022,113.23,"33,287,770.00",114.50,116.08,112.66
11/15/2022,117.08,"50,670,500.00",116.07,118.74,114.41
11/14/2022,114.22,"53,394,970.00",110.99,116.27,110.80
11/11/2022,113.02,"59,961,740.00",109.23,114.90,108.81
11/10/2022,111.87,"80,670,960.00",107.12,112.75,104.61
11/9/2022,101.47,"107,677,300.00",101.72,104.90,100.74
11/8/2022,96.47,"52,088,320.00",95.92,97.80,94.79
11/7/2022,96.72,"81,987,300.00",94.78,96.88,93.10
11/4/2022,90.79,"55,638,060.00",90.35,91.39,88.09
11/3/2022,88.91,"60,664,010.00",90.08,90.46,88.41
11/2/2022,90.54,"71,821,060.00",94.21,95.20,90.48
11/1/2022,95.20,"110,189,600.00",94.33,97.49,93.55
10/31/2022,93.16,"121,361,400.00",98.22,99.32,92.60
10/28/2022,99.20,"95,928,310.00",99.58,100.85,97.51
10/27/2022,97.94,"232,316,600.00",97.98,102.50,96.38
10/26/2022,129.82,"89,294,680.00",131.68,135.55,128.53
10/25/2022,137.51,"38,433,220.00",130.88,138.35,130.59
10/24/2022,129.72,"63,563,450.00",127.25,133.48,124.57
10/21/2022,130.01,"46,348,650.00",126.31,130.12,125.44
10/20/2022,131.53,"26,356,280.00",132.93,136.77,131.31
10/19/2022,133.23,"30,691,050.00",132.89,137.00,132.22
10/18/2022,132.80,"25,444,980.00",137.09,137.84,131.40
10/17/2022,134.04,"29,612,250.00",130.30,134.79,130.18
10/14/2022,126.76,"23,559,410.00",131.00,131.79,126.52
10/13/2022,130.29,"34,325,720.00",123.53,131.14,122.53
10/12/2022,127.50,"34,605,250.00",128.32,129.67,126.25
10/11/2022,128.54,"38,481,400.00",131.62,132.66,126.99
10/10/2022,133.79,"24,023,980.00",133.55,136.11,131.87
10/7/2022,133.45,"33,214,770.00",136.76,138.29,132.44
10/6/2022,139.07,"36,231,060.00",137.72,141.45,136.60
10/5/2022,138.98,"27,979,350.00",138.24,140.21,134.78
10/4/2022,140.28,"34,670,730.00",140.49,142.39,139.34
10/3/2022,138.61,"27,723,060.00",137.14,139.62,136.10
9/30/2022,135.68,"33,166,390.00",136.05,140.99,135.50
9/29/2022,136.41,"38,985,410.00",139.36,139.84,135.20
9/28/2022,141.61,"32,658,480.00",134.62,142.03,134.27
9/27/2022,134.40,"30,826,470.00",137.92,139.42,134.12
9/26/2022,136.37,"30,497,020.00",140.12,142.24,136.19
9/23/2022,140.41,"31,710,690.00",141.42,142.62,138.89
9/22/2022,142.82,"34,418,520.00",141.55,144.58,140.87
9/21/2022,142.12,"38,338,610.00",146.39,149.60,142.00
9/20/2022,146.09,"23,217,350.00",145.78,148.84,145.22
9/19/2022,148.02,"22,169,480.00",145.24,148.58,145.10
9/16/2022,146.29,"40,122,820.00",148.05,148.58,144.29
9/15/2022,149.55,"34,606,350.00",149.80,154.20,148.70
9/14/2022,151.47,"43,064,200.00",153.33,153.54,149.05
9/13/2022,153.13,"44,444,060.00",161.54,161.63,152.67
9/12/2022,168.96,"23,220,410.00",167.39,171.39,167.28
9/9/2022,169.15,"22,129,800.00",163.25,169.54,163.02
9/8/2022,162.06,"22,530,790.00",158.71,162.23,157.74
9/7/2022,160.39,"16,831,180.00",157.76,160.96,156.81
9/6/2022,158.54,"19,339,780.00",160.10,161.69,157.69
9/2/2022,160.32,"22,634,190.00",167.45,167.93,159.22
9/1/2022,165.36,"30,145,680.00",163.58,167.36,160.35
8/31/2022,162.93,"40,952,980.00",167.07,167.84,162.14
